pin_id,article_slug,pin_variant,image_generated,image_reviewed,text_overlay_added,text_legible_mobile,topic_match_checked,no_ai_artifacts,image_uploaded_to_public_pins,ready_for_api
front-yard-boxwood-and-flower-bed-ideas-b,front-yard-boxwood-and-flower-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-boxwood-and-flower-bed-ideas-c,front-yard-boxwood-and-flower-bed-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-budget-makeover-plan-a,front-yard-budget-makeover-plan,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-budget-makeover-plan-b,front-yard-budget-makeover-plan,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-budget-makeover-plan-c,front-yard-budget-makeover-plan,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-circular-driveway-landscaping-ideas-a,front-yard-circular-driveway-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-circular-driveway-landscaping-ideas-b,front-yard-circular-driveway-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-cottage-curb-appeal-ideas-a,front-yard-cottage-curb-appeal-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-cottage-curb-appeal-ideas-b,front-yard-cottage-curb-appeal-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-cottage-curb-appeal-ideas-c,front-yard-cottage-curb-appeal-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-cottage-flower-bed-ideas-a,front-yard-cottage-flower-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-cottage-flower-bed-ideas-b,front-yard-cottage-flower-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-cottage-flower-bed-ideas-c,front-yard-cottage-flower-bed-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-craftsman-house-landscaping-ideas-a,front-yard-craftsman-house-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-craftsman-house-landscaping-ideas-b,front-yard-craftsman-house-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-craftsman-house-landscaping-ideas-c,front-yard-craftsman-house-landscaping-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-crushed-granite-landscaping-ideas-a,front-yard-crushed-granite-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-dahlia-bed-ideas-a,front-yard-dahlia-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-dahlia-bed-ideas-b,front-yard-dahlia-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-dahlia-bed-ideas-c,front-yard-dahlia-bed-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-desert-landscaping-ideas-a,front-yard-desert-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-diy-edging-ideas-on-a-budget-a,front-yard-diy-edging-ideas-on-a-budget,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-diy-edging-ideas-on-a-budget-b,front-yard-diy-edging-ideas-on-a-budget,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-diy-edging-ideas-on-a-budget-c,front-yard-diy-edging-ideas-on-a-budget,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-driveway-border-landscaping-ideas-a,front-yard-driveway-border-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-driveway-border-landscaping-ideas-b,front-yard-driveway-border-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-dry-creek-bed-ideas-a,front-yard-dry-creek-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-entryway-landscaping-ideas-a,front-yard-entryway-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-entryway-landscaping-ideas-b,front-yard-entryway-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-entryway-landscaping-ideas-c,front-yard-entryway-landscaping-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-fence-line-landscaping-ideas-a,front-yard-fence-line-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-fence-line-landscaping-ideas-b,front-yard-fence-line-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-fence-line-landscaping-ideas-c,front-yard-fence-line-landscaping-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-around-tree-a,front-yard-flower-bed-around-tree,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-around-tree-b,front-yard-flower-bed-around-tree,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-around-tree-c,front-yard-flower-bed-around-tree,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-color-combinations-a,front-yard-flower-bed-color-combinations,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-color-combinations-b,front-yard-flower-bed-color-combinations,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-color-combinations-c,front-yard-flower-bed-color-combinations,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-brick-walkways-a,front-yard-flower-bed-ideas-for-brick-walkways,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-brick-walkways-b,front-yard-flower-bed-ideas-for-brick-walkways,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-brick-walkways-c,front-yard-flower-bed-ideas-for-brick-walkways,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-curb-appeal-a,front-yard-flower-bed-ideas-for-curb-appeal,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-curb-appeal-b,front-yard-flower-bed-ideas-for-curb-appeal,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-curb-appeal-c,front-yard-flower-bed-ideas-for-curb-appeal,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-ranch-houses-a,front-yard-flower-bed-ideas-for-ranch-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-ranch-houses-b,front-yard-flower-bed-ideas-for-ranch-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-ranch-houses-c,front-yard-flower-bed-ideas-for-ranch-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-shady-porches-a,front-yard-flower-bed-ideas-for-shady-porches,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-shady-porches-b,front-yard-flower-bed-ideas-for-shady-porches,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-shady-porches-c,front-yard-flower-bed-ideas-for-shady-porches,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-white-houses-a,front-yard-flower-bed-ideas-for-white-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-white-houses-b,front-yard-flower-bed-ideas-for-white-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-for-white-houses-c,front-yard-flower-bed-ideas-for-white-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-blue-and-white-blooms-a,front-yard-flower-bed-ideas-with-blue-and-white-blooms,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-blue-and-white-blooms-b,front-yard-flower-bed-ideas-with-blue-and-white-blooms,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-blue-and-white-blooms-c,front-yard-flower-bed-ideas-with-blue-and-white-blooms,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-brick-edging-a,front-yard-flower-bed-ideas-with-brick-edging,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-brick-edging-b,front-yard-flower-bed-ideas-with-brick-edging,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-brick-edging-c,front-yard-flower-bed-ideas-with-brick-edging,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-curved-edging-a,front-yard-flower-bed-ideas-with-curved-edging,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-curved-edging-b,front-yard-flower-bed-ideas-with-curved-edging,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-curved-edging-c,front-yard-flower-bed-ideas-with-curved-edging,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-evergreen-backdrops-a,front-yard-flower-bed-ideas-with-evergreen-backdrops,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-evergreen-backdrops-b,front-yard-flower-bed-ideas-with-evergreen-backdrops,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-evergreen-backdrops-c,front-yard-flower-bed-ideas-with-evergreen-backdrops,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-evergreens-a,front-yard-flower-bed-ideas-with-evergreens,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-evergreens-b,front-yard-flower-bed-ideas-with-evergreens,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-evergreens-c,front-yard-flower-bed-ideas-with-evergreens,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-low-boxwoods-a,front-yard-flower-bed-ideas-with-low-boxwoods,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-low-boxwoods-b,front-yard-flower-bed-ideas-with-low-boxwoods,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-low-boxwoods-c,front-yard-flower-bed-ideas-with-low-boxwoods,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-pink-perennials-a,front-yard-flower-bed-ideas-with-pink-perennials,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-pink-perennials-b,front-yard-flower-bed-ideas-with-pink-perennials,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-pink-perennials-c,front-yard-flower-bed-ideas-with-pink-perennials,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-purple-perennials-a,front-yard-flower-bed-ideas-with-purple-perennials,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-purple-perennials-b,front-yard-flower-bed-ideas-with-purple-perennials,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-purple-perennials-c,front-yard-flower-bed-ideas-with-purple-perennials,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-stone-edging-a,front-yard-flower-bed-ideas-with-stone-edging,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-stone-edging-b,front-yard-flower-bed-ideas-with-stone-edging,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-stone-edging-c,front-yard-flower-bed-ideas-with-stone-edging,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-yellow-accents-a,front-yard-flower-bed-ideas-with-yellow-accents,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-yellow-accents-b,front-yard-flower-bed-ideas-with-yellow-accents,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-bed-ideas-with-yellow-accents-c,front-yard-flower-bed-ideas-with-yellow-accents,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-border-along-walkway-a,front-yard-flower-border-along-walkway,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-border-along-walkway-b,front-yard-flower-border-along-walkway,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-flower-border-along-walkway-c,front-yard-flower-border-along-walkway,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-foundation-planting-ideas-for-american-homes-a,front-yard-foundation-planting-ideas-for-american-homes,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-foundation-planting-ideas-for-american-homes-b,front-yard-foundation-planting-ideas-for-american-homes,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-foundation-planting-ideas-for-american-homes-c,front-yard-foundation-planting-ideas-for-american-homes,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-hydrangea-bed-ideas-a,front-yard-hydrangea-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-hydrangea-bed-ideas-b,front-yard-hydrangea-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-hydrangea-bed-ideas-c,front-yard-hydrangea-bed-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-iris-bed-ideas-a,front-yard-iris-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-iris-bed-ideas-b,front-yard-iris-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-iris-bed-ideas-c,front-yard-iris-bed-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-black-front-doors-a,front-yard-landscaping-for-black-front-doors,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-black-front-doors-b,front-yard-landscaping-for-black-front-doors,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-black-front-doors-c,front-yard-landscaping-for-black-front-doors,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-brown-houses-a,front-yard-landscaping-for-brown-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-brown-houses-b,front-yard-landscaping-for-brown-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-brown-houses-c,front-yard-landscaping-for-brown-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-charcoal-houses-a,front-yard-landscaping-for-charcoal-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-charcoal-houses-b,front-yard-landscaping-for-charcoal-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-charcoal-houses-c,front-yard-landscaping-for-charcoal-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-cream-houses-a,front-yard-landscaping-for-cream-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-cream-houses-b,front-yard-landscaping-for-cream-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-cream-houses-c,front-yard-landscaping-for-cream-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-green-houses-a,front-yard-landscaping-for-green-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-green-houses-b,front-yard-landscaping-for-green-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-green-houses-c,front-yard-landscaping-for-green-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-light-gray-houses-a,front-yard-landscaping-for-light-gray-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-light-gray-houses-b,front-yard-landscaping-for-light-gray-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-light-gray-houses-c,front-yard-landscaping-for-light-gray-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-red-brick-homes-a,front-yard-landscaping-for-red-brick-homes,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-red-brick-homes-b,front-yard-landscaping-for-red-brick-homes,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-red-brick-homes-c,front-yard-landscaping-for-red-brick-homes,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-yellow-houses-a,front-yard-landscaping-for-yellow-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-yellow-houses-b,front-yard-landscaping-for-yellow-houses,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-for-yellow-houses-c,front-yard-landscaping-for-yellow-houses,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-on-a-budget-expensive-look-a,front-yard-landscaping-on-a-budget-expensive-look,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-on-a-budget-expensive-look-b,front-yard-landscaping-on-a-budget-expensive-look,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-on-a-budget-expensive-look-c,front-yard-landscaping-on-a-budget-expensive-look,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-under-500-a,front-yard-landscaping-under-500,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-under-500-b,front-yard-landscaping-under-500,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-under-500-c,front-yard-landscaping-under-500,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-with-free-materials-a,front-yard-landscaping-with-free-materials,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-with-free-materials-b,front-yard-landscaping-with-free-materials,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-landscaping-with-free-materials-c,front-yard-landscaping-with-free-materials,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-lavender-landscaping-ideas-a,front-yard-lavender-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-lavender-landscaping-ideas-b,front-yard-lavender-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-lavender-landscaping-ideas-c,front-yard-lavender-landscaping-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-lawn-edging-curb-appeal-ideas-a,front-yard-lawn-edging-curb-appeal-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-lawn-edging-curb-appeal-ideas-b,front-yard-lawn-edging-curb-appeal-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-lawn-edging-curb-appeal-ideas-c,front-yard-lawn-edging-curb-appeal-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-limestone-landscaping-ideas-a,front-yard-limestone-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-luxury-curb-appeal-ideas-a,front-yard-luxury-curb-appeal-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-luxury-curb-appeal-ideas-b,front-yard-luxury-curb-appeal-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-minimalist-landscaping-ideas-a,front-yard-minimalist-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-minimalist-landscaping-ideas-b,front-yard-minimalist-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-mulch-and-edging-ideas-for-clean-landscaping-a,front-yard-mulch-and-edging-ideas-for-clean-landscaping,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-mulch-and-edging-ideas-for-clean-landscaping-b,front-yard-mulch-and-edging-ideas-for-clean-landscaping,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-native-flower-bed-ideas-a,front-yard-native-flower-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-native-flower-bed-ideas-b,front-yard-native-flower-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-pathway-border-ideas-with-plants-a,front-yard-pathway-border-ideas-with-plants,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-pathway-border-ideas-with-plants-b,front-yard-pathway-border-ideas-with-plants,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-pathway-border-ideas-with-plants-c,front-yard-pathway-border-ideas-with-plants,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-peony-bed-ideas-a,front-yard-peony-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-peony-bed-ideas-b,front-yard-peony-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-perennial-flower-bed-ideas-a,front-yard-perennial-flower-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-perennial-flower-bed-ideas-b,front-yard-perennial-flower-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-pollinator-garden-ideas-a,front-yard-pollinator-garden-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-pollinator-garden-ideas-b,front-yard-pollinator-garden-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-porch-curb-appeal-ideas-a,front-yard-porch-curb-appeal-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-porch-curb-appeal-ideas-b,front-yard-porch-curb-appeal-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-privacy-landscaping-ideas-that-still-feel-open-a,front-yard-privacy-landscaping-ideas-that-still-feel-open,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-privacy-landscaping-ideas-that-still-feel-open-b,front-yard-privacy-landscaping-ideas-that-still-feel-open,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-river-rock-landscaping-ideas-a,front-yard-river-rock-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-and-mulch-landscaping-a,front-yard-rock-and-mulch-landscaping,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-border-ideas-a,front-yard-rock-border-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-garden-with-flowers-a,front-yard-rock-garden-with-flowers,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-garden-with-flowers-b,front-yard-rock-garden-with-flowers,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-around-trees-a,front-yard-rock-landscaping-around-trees,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-for-brick-houses-a,front-yard-rock-landscaping-for-brick-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-for-corner-lots-a,front-yard-rock-landscaping-for-corner-lots,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-for-modern-farmhouses-a,front-yard-rock-landscaping-for-modern-farmhouses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-for-sloped-yards-a,front-yard-rock-landscaping-for-sloped-yards,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-for-white-houses-a,front-yard-rock-landscaping-for-white-houses,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-modern-ideas-a,front-yard-rock-landscaping-modern-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-agave-a,front-yard-rock-landscaping-with-agave,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-cactus-accents-a,front-yard-rock-landscaping-with-cactus-accents,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-decomposed-granite-a,front-yard-rock-landscaping-with-decomposed-granite,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-evergreen-shrubs-a,front-yard-rock-landscaping-with-evergreen-shrubs,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-flagstone-paths-a,front-yard-rock-landscaping-with-flagstone-paths,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-low-shrubs-a,front-yard-rock-landscaping-with-low-shrubs,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-modern-pathways-a,front-yard-rock-landscaping-with-modern-pathways,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-olive-trees-a,front-yard-rock-landscaping-with-olive-trees,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-path-lights-a,front-yard-rock-landscaping-with-path-lights,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-raised-stone-beds-a,front-yard-rock-landscaping-with-raised-stone-beds,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-stone-retaining-edges-a,front-yard-rock-landscaping-with-stone-retaining-edges,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rock-landscaping-with-yuccas-a,front-yard-rock-landscaping-with-yuccas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rose-garden-ideas-a,front-yard-rose-garden-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-rose-garden-ideas-b,front-yard-rose-garden-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-salvia-and-grass-bed-ideas-a,front-yard-salvia-and-grass-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-salvia-and-grass-bed-ideas-b,front-yard-salvia-and-grass-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-seasonal-refresh-ideas-for-spring-and-fall-a,front-yard-seasonal-refresh-ideas-for-spring-and-fall,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-seasonal-refresh-ideas-for-spring-and-fall-b,front-yard-seasonal-refresh-ideas-for-spring-and-fall,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-shade-flower-bed-ideas-a,front-yard-shade-flower-bed-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-shade-flower-bed-ideas-b,front-yard-shade-flower-bed-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-shade-landscaping-ideas-a,front-yard-shade-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-shade-landscaping-ideas-b,front-yard-shade-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-side-yard-transition-landscaping-a,front-yard-side-yard-transition-landscaping,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-side-yard-transition-landscaping-b,front-yard-side-yard-transition-landscaping,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-slate-chip-landscaping-ideas-a,front-yard-slate-chip-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-sloped-landscaping-ideas-with-retaining-walls-a,front-yard-sloped-landscaping-ideas-with-retaining-walls,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-stepping-stone-walkway-ideas-a,front-yard-stepping-stone-walkway-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-stepping-stone-walkway-ideas-b,front-yard-stepping-stone-walkway-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-stepping-stone-walkway-ideas-c,front-yard-stepping-stone-walkway-ideas,C,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-stone-steps-landscaping-ideas-a,front-yard-stone-steps-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-symmetry-landscaping-ideas-a,front-yard-symmetry-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-symmetry-landscaping-ideas-b,front-yard-symmetry-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
front-yard-tree-ideas-for-curb-appeal-and-shade-a,front-yard-tree-ideas-for-curb-appeal-and-shade,A,yes,yes,yes,yes,yes,yes,yes,yes
